2290,-15.51121,16.62124,ALY KANE,8,255,8,3.99996904
117,18.04362,-15.97269,AMADOU HAMPATE BA,6,245,7,0.024516534
2441,-17.03586,20.95017,amar,10,441,16,7.759999979
12,18.06646,-15.93495,AMAR IBN YASSER (FILLE),13,367,14,0.031215955
1827,-14.572383,16.667117,AMARLEEWEINE,1,41,1,4.239988916
2411,-13.12807,20.50634,amdair3,2,53,3,3.999990643
1244,-11.26011,16.03821,amjeyjir,2,160,3,0
66,-7.21633,16.111,amourj1,8,333,17,3.999999969
67,-7.27362,16.1102,amourjelbil,1,21,1,3.999990634
630,-7.576417,15.61205,AMRAYCHA,3,136,4,3.519870353
891,-10.680183,16.87,Amriche,1,0,1,0
969,-10.397467,15.7452,Amriche,1,54,1,3.759966799
2381,-13.1982,20.30114,anfik,1,19,1,3.999994387
1941,-12.77029,17.23385,anmortagumeymin,1,73,1,0
4,18.0844,-15.97168,ANNEXE,20,298,21,0.008367941
8,18.0767,-16.0075,ANNEXE BAB ES SAM,6,49,7,0.005180335
1875,-13.75597,16.27581,anyabina1,6,398,7,3.999998116
1571,-12.94751,16.24587,anyomalli,1,102,1,3.999974635
892,-10.647733,16.725683,ANZEY,2,82,1,0
551,-8.886917,16.378067,AOUENAT3,4,131,5,3.999999811
2347,-13.01332,20.62369,Aoujeft 1,6,193,7,3.999987312
31,18.06005,-15.9687,ARAFAT 4,8,255,9,0.021824358
16,18.05639,-15.98908,ARAFAT1,10,515,11,0.016096201
42,18.072458,-15.960103,ARAFAT2,26,1878,54,0.021601172
9,18.06113,-15.99784,ARAFAT3,7,295,8,0.012100206
2054,-14.97502,17.30066,aravat1,7,310,8,3.279941719
8,-6.54821,15.80766,archane,2,54,1,0
1756,-14.01277,16.402,a�r�gol�r�,6,454,8,3.999998525
1784,-14.26846,16.66986,arihara,3,163,4,7.759975463
161,18.03671,-15.96121,ARRAFAT 4,15,375,30,0.029918332
1167,-12.82636,16.73579,arrakhan,1,49,2,3.519925994
1245,-10.89718,16.05773,arssanehamoud,2,117,1,0
1818,-14.42899,16.65891,arwa,2,42,1,3.99996071
631,-7.51095,15.653633,ASKYER,2,57,2,3.999931194
2393,-13.04703,20.51923,atar2,14,732,21,3.999999974
2394,-13.05602,20.51567,atar6,3,162,5,3.999999999
111,18.06844,-15.95466,ATARBIYA,5,65,6,0.022152095
162,18.05412,-15.97253,ATLASSI,20,497,21,0.022020645
32,18.07953,-15.97631,AVENIR,8,268,17,0.014623165
233,17.97515,-15.97019,AVENIR PK 12,2,50,5,0.020957202
3,17.97576,-15.96945,AVENIR PK 12,5,126,6,0.022263726
1338,-10.96185,15.244233,Avrare,2,52,1,0
1628,-12.50585,16.21461,awachkache,1,50,1,0
1629,-12.7206,16.14933,Awcheykich,3,102,1,0
1596,-12.80867,16.56506,awdayachrak2,2,120,2,3.519940916
2644,-11.8132,15.40639,aweinittcidre,2,96,2,3.999986997
2159,-15.32733,17.87245,Awleigatt,3,110,4,3.99999792
2009,-14.698,17.5259,ayneslame,3,111,4,7.519998545
2382,-13.22244,20.28386,azougi,3,115,4,3.99999825
